time_s,fullAccelerationDown,reducedAccelerationDown,fullRotor1AeroThrust,reducedRotor1AeroThrust
2.415,-0.149221612594672,-0.14922161259467,29867.6190767583,29867.6190767583
2.42,-0.14907642469557,-0.14907642469557,29867.1834831096,29867.1834831096
2.425,-0.148931372342167,-0.148931372342164,29866.7483053634,29866.7483053634
2.43,-0.148786454892224,-0.14878645489222,29866.3135423153,29866.3135423153
2.435,-0.148641672032288,-0.148641672032284,29865.8791928184,29865.8791928184
2.44,-0.148497023767752,-0.14849702376775,29865.4452558456,29865.4452558456
2.445,-0.148352510385878,-0.148352510385877,29865.0117305367,29865.0117305367
2.45,-0.148208132397208,-0.148208132397207,29864.5786162273,29864.5786162273
2.455,-0.148063890462192,-0.148063890462194,29864.1459124582,29864.1459124582
2.46,-0.147919785310613,-0.147919785310618,29863.7136189664,29863.7136189664
2.465,-0.147775817661432,-0.147775817661436,29863.2817356591,29863.2817356591
2.47,-0.147631988149979,-0.147631988149983,29862.8502625759,29862.8502625759
2.475,-0.14748829726831,-0.147488297268314,29862.4191998419,29862.4191998419
2.48,-0.147344745322833,-0.147344745322837,29861.9885476169,29861.9885476169
2.485,-0.147201332411535,-0.147201332411536,29861.5583060463,29861.5583060463
2.49,-0.147058058421228,-0.147058058421229,29861.1284752169,29861.1284752169
2.495,-0.146914923043463,-0.146914923043466,29860.6990551212,29860.6990551212
2.5,-0.146771925806203,-0.146771925806204,29860.2700456332,29860.2700456332
2.505,-0.14662906611725,-0.146629066117253,29859.8414464961,29859.8414464961
2.51,-0.146486343314689,-0.146486343314691,29859.4132573228,29859.4132573228
2.515,-0.146343756719388,-0.146343756719388,29858.9854776076,29858.9854776076
2.52,-0.146201305684808,-0.146201305684807,29858.558106747,29858.558106747
2.525,-0.146058989639971,-0.14605898963997,29858.1311440681,29858.1311440681
2.53,-0.145916808122443,-0.145916808122443,29857.7045888604,29857.7045888604
2.535,-0.145774760799168,-0.145774760799167,29857.278440408,29857.278440408
2.54,-0.145632847474378,-0.145632847474378,29856.8526980206,29856.8526980207
